day,month,year,hour,minute,second,abs.second,sats,Latitude,Longitude,Altitude,var1,var2,var3
26,07,21,02,59,02,10742.090,0,0.000000,0.000000,0.00,9999.999,9999.999000000000,4.14
26,07,21,03,04,02,11042.090,0,0.000000,0.000000,0.00,9999.999,9999.999000000000,4.14
26,07,21,03,09,02,11342.090,0,0.000000,0.000000,0.00,9999.999,9999.999000000000,4.14
26,07,21,03,14,02,11642.090,0,0.000000,0.000000,0.00,9999.999,9999.999000000000,4.14
26,07,21,03,19,00,11940.450,4,52.138689,-6.589141,0.00,9999.999,0.000000531799,4.14
26,07,21,03,24,02,12242.480,5,52.138571,-6.589077,59.25,-3.535,0.000000419095,4.14
26,07,21,03,28,53,12533.115,6,52.139681,-6.602651,53.00,-3.515,0.000001536358,4.14
26,07,21,03,33,52,12832.605,6,52.142475,-6.625482,22.25,-3.630,0.000002336204,4.14
26,07,21,03,38,51,13131.610,6,52.143158,-6.642278,62.75,-3.450,0.000004071254,4.14
26,07,21,03,43,53,13433.120,6,52.143277,-6.643873,64.50,-3.545,0.000002520610,4.14
26,07,21,03,48,52,13732.125,6,52.143307,-6.644817,56.25,-3.925,0.000003750439,4.14
26,07,21,03,53,53,14033.625,8,52.143217,-6.645581,67.50,-3.815,0.000006230372,4.12
26,07,21,03,58,53,14333.615,6,52.142623,-6.645744,51.50,-3.325,0.000003432156,4.14
26,07,21,04,03,53,14633.125,7,52.139227,-6.648753,51.50,-3.385,0.000002161180,4.14
26,07,21,04,08,54,14934.635,6,52.138093,-6.648710,58.25,-3.650,0.000004752843,4.14
26,07,21,04,13,53,15233.630,6,52.135647,-6.649463,43.75,-3.500,0.000002189676,4.14
26,07,21,04,18,53,15533.640,7,52.132940,-6.653480,41.50,-3.290,0.000004020883,4.14
26,07,21,04,23,55,15835.130,6,52.132179,-6.655569,48.50,-3.510,0.000002553515,4.12
26,07,21,04,28,56,16136.130,6,52.133553,-6.655804,55.75,-3.980,0.000002757486,4.14
26,07,21,04,33,55,16435.630,7,52.132972,-6.654592,53.50,-3.855,0.000004121173,4.12
26,07,21,04,38,56,16736.635,7,52.132387,-6.653286,55.25,-3.305,0.000002807749,4.14
26,07,21,04,43,56,17036.135,7,52.131791,-6.652184,43.25,9999.999,0.000003372321,4.14
26,07,21,04,49,00,17340.155,5,52.125456,-6.651161,28.00,-3.855,0.000000547573,4.12
26,07,21,04,53,59,17639.145,6,52.128046,-6.650629,49.00,-4.125,0.000002805234,4.14
26,07,21,04,58,59,17939.165,6,52.127220,-6.649418,65.00,-3.980,0.000002506166,4.12
26,07,21,05,04,01,18241.160,6,52.125560,-6.648101,52.00,-3.765,0.000002140555,4.12
26,07,21,05,09,02,18542.145,6,52.124507,-6.646896,57.25,-3.740,0.000002239754,4.12
26,07,21,05,14,03,18843.160,5,52.122993,-6.645523,60.25,-3.835,0.000001111868,4.14
26,07,21,05,19,02,19142.165,6,52.126187,-6.648076,87.75,-3.885,0.000001843565,4.12
26,07,21,05,24,02,19442.645,8,52.127162,-6.644786,52.25,-3.620,0.000005887807,4.12
26,07,21,05,29,04,19744.140,7,52.120092,-6.644129,65.50,-3.475,0.000004759078,4.12
26,07,21,05,34,03,20043.645,6,52.118323,-6.644369,60.25,-3.535,0.000003004822,4.12
26,07,21,05,39,05,20345.155,5,52.116381,-6.642166,77.00,-3.630,0.000000226091,4.12
26,07,21,05,44,04,20644.660,9,52.085137,-6.616105,60.00,-3.640,0.000005249471,4.12
26,07,21,05,49,09,20949.150,5,52.080717,-6.613409,63.25,-3.600,0.000000624961,4.12
26,07,21,05,54,07,21247.160,6,52.080451,-6.611592,65.00,-3.825,0.000004890247,4.14
26,07,21,05,59,10,21550.645,5,52.080687,-6.609347,45.25,-3.710,0.000000281012,4.12
26,07,21,06,04,07,21847.170,7,52.086299,-6.605729,76.75,-3.535,0.000000483589,4.12
