day,month,year,hour,minute,second,abs.second,sats,Latitude,Longitude,Altitude,var1,var2,var3
18,07,21,03,03,24,11004.640,6,52.149509,-6.672370,62.00,9999.999,0.000000598562,4.14
18,07,21,03,08,26,11306.640,5,52.148836,-6.672876,92.25,3.140,0.000000233081,4.14
18,07,21,03,13,25,11605.660,6,52.148518,-6.672707,73.50,2.425,0.000001662641,4.14
18,07,21,03,18,26,11906.165,7,52.148262,-6.672680,63.00,2.555,0.000001591597,4.14
18,07,21,03,23,26,12206.655,6,52.147944,-6.673070,67.75,2.975,0.000000192283,4.14
18,07,21,03,28,29,12509.665,6,52.147402,-6.673352,67.75,2.870,0.000001678586,4.14
18,07,21,03,33,28,12808.660,6,52.146980,-6.673607,66.50,2.610,0.000001244172,4.14
18,07,21,03,38,29,13109.670,6,52.146423,-6.673868,60.00,2.535,0.000002071100,4.14
18,07,21,03,43,29,13409.665,7,52.146007,-6.674221,50.00,2.630,0.000004261712,4.14
18,07,21,03,48,30,13710.670,10,52.145497,-6.674682,56.75,2.715,0.000004298495,4.14
18,07,21,03,53,31,14011.665,8,52.145080,-6.675235,47.75,2.710,0.000003812245,4.14
18,07,21,03,58,32,14312.660,7,52.144685,-6.675865,49.75,2.660,0.000003829157,4.14
18,07,21,04,03,32,14612.670,8,52.144360,-6.676465,55.50,2.640,0.000003283652,4.14
18,07,21,04,08,33,14913.680,8,52.144029,-6.677066,69.50,2.665,0.000004238210,4.14
18,07,21,04,13,34,15214.665,8,52.143614,-6.677793,50.00,2.685,0.000002395578,4.14
18,07,21,04,18,35,15515.675,8,52.143383,-6.678936,50.75,2.680,0.000002818068,4.12
18,07,21,04,23,37,15817.180,8,52.154334,-6.681335,44.25,2.925,0.000002959187,4.12
18,07,21,04,28,36,16116.675,8,52.151814,-6.685229,45.50,3.050,0.000004210207,4.14
18,07,21,04,33,37,16417.180,6,52.154978,-6.680147,70.00,2.990,0.000003409681,4.14
18,07,21,04,38,37,16717.670,6,52.154115,-6.706941,48.75,2.895,0.000000989205,4.14
18,07,21,04,43,38,17018.685,6,52.153028,-6.698372,47.25,2.630,0.000001490655,4.12
18,07,21,04,48,39,17319.690,6,52.149978,-6.689941,48.25,2.555,0.000004196211,4.14
18,07,21,04,53,39,17619.175,6,52.149349,-6.689594,63.75,2.895,0.000001838206,4.14
18,07,21,04,58,47,17927.755,6,52.148566,-6.689304,47.25,3.135,0.000002380415,4.14
18,07,21,05,03,49,18229.685,6,52.148379,-6.688804,68.50,2.840,0.000005653321,4.14
18,07,21,05,08,50,18530.690,6,52.148233,-6.689647,52.50,2.540,0.000003432709,4.14
18,07,21,05,13,50,18830.190,6,52.141243,-6.688528,46.00,2.790,0.000001147240,4.12
18,07,21,05,18,53,19133.710,5,52.140517,-6.688002,40.25,3.075,0.000000548600,4.14
18,07,21,05,23,52,19432.685,6,52.140593,-6.689706,55.00,2.840,0.000002963529,4.14
18,07,21,05,28,53,19733.180,6,52.140747,-6.691033,53.25,2.815,0.000004053830,4.14
18,07,21,05,33,53,20033.685,5,52.140506,-6.692742,72.75,2.920,0.000001304687,4.14
18,07,21,05,38,56,20336.680,6,52.140789,-6.693971,55.25,2.735,0.000004257204,4.14
18,07,21,05,43,54,20634.725,6,52.137313,-6.700301,52.00,2.610,0.000003695151,4.14
18,07,21,05,48,59,20939.230,5,52.138095,-6.700116,85.00,2.915,0.000000514433,4.14
18,07,21,05,53,56,21236.185,6,52.137795,-6.701829,47.25,3.360,0.000005928970,4.12
18,07,21,05,58,55,21535.200,7,52.137181,-6.704156,53.75,3.415,0.000004515712,4.14
18,07,21,06,03,56,21836.695,5,52.133359,-6.702812,85.00,2.975,0.000000627395,4.14
18,07,21,06,08,56,22136.705,8,52.125403,-6.690749,59.50,2.480,0.000002226620,4.12
18,07,21,06,13,57,22437.230,6,52.135412,-6.661286,79.50,9999.999,0.000004232591,4.14
18,07,21,06,18,57,22737.700,9,52.138425,-6.649341,59.25,2.965,0.000005563284,4.12
18,07,21,06,23,58,23038.685,7,52.138732,-6.649724,44.50,2.935,0.000002680823,4.14
18,07,21,06,29,00,23340.715,6,52.138980,-6.649820,80.00,2.685,0.000002044784,4.12
18,07,21,06,34,01,23641.695,6,52.139190,-6.650631,63.25,2.580,0.000004566662,4.14
18,07,21,06,39,01,23941.700,8,52.139307,-6.651164,50.75,2.645,0.000005082352,4.14
18,07,21,06,44,02,24242.205,7,52.139427,-6.651428,83.75,2.985,0.000001215383,4.14
18,07,21,06,49,03,24543.695,6,52.139793,-6.652087,43.25,3.120,0.000002645749,4.14
18,07,21,06,54,03,24843.710,7,52.140096,-6.652590,66.50,2.770,0.000003698966,4.12
18,07,21,06,59,04,25144.700,7,52.140350,-6.653195,53.75,2.530,0.000003787740,4.12
18,07,21,07,04,06,25446.200,7,52.140546,-6.652812,45.25,2.830,0.000002589244,4.12
18,07,21,07,09,05,25745.710,7,52.140862,-6.653339,49.75,3.105,0.000001706061,4.14
18,07,21,07,14,07,26047.705,6,52.141118,-6.654018,64.75,2.845,0.000004677447,4.12
18,07,21,07,19,07,26347.205,7,52.132333,-6.685147,40.25,2.825,0.000001281426,4.12
18,07,21,07,24,12,26652.265,7,52.125967,-6.680775,51.00,3.225,0.000001671774,4.12
18,07,21,07,29,12,26952.705,6,52.126514,-6.680760,33.00,3.185,0.000000238702,4.12
18,07,21,07,34,12,27252.705,8,52.127213,-6.680777,38.75,2.685,0.000003477342,4.12
18,07,21,07,39,14,27554.215,7,52.127749,-6.680571,34.00,9999.999,0.000002235930,4.12
18,07,21,07,44,14,27854.705,6,52.128205,-6.680442,54.75,2.960,0.000002487184,4.12
18,07,21,07,49,15,28155.700,6,52.128527,-6.680025,40.50,2.840,0.000002645658,4.12
18,07,21,07,54,16,28456.210,7,52.128989,-6.679793,38.50,2.895,0.000001235048,4.14
18,07,21,07,59,16,28756.715,6,52.129254,-6.678929,41.50,2.990,0.000001212183,4.14
18,07,21,08,04,17,29057.710,6,52.129726,-6.678356,36.25,2.760,0.000001586245,4.12
18,07,21,08,09,18,29358.730,6,52.129946,-6.677480,35.25,2.605,0.000001277467,4.12
18,07,21,08,14,19,29659.725,6,52.130307,-6.676730,44.75,2.650,0.000002184945,4.12
18,07,21,08,19,22,29962.730,5,52.130878,-6.676153,32.75,2.750,0.000000244883,4.12
18,07,21,08,24,20,30260.710,9,52.109895,-6.681779,48.75,2.770,0.000002672421,4.12
18,07,21,08,29,21,30561.220,7,52.078802,-6.679025,56.50,2.975,0.000003389917,4.12
18,07,21,08,34,31,30871.775,6,52.058086,-6.658245,57.75,3.100,0.000003194878,4.12
