day,month,year,hour,minute,second,abs.second,sats,Latitude,Longitude,Altitude,var1,var2,var3
01,08,21,02,58,30,10710.000,4,52.139070,-6.588562,0.00,9999.999,0.000000895253,4.10
01,08,21,03,03,31,11011.100,5,52.139590,-6.588254,56.25,2.050,0.000000618290,4.10
01,08,21,03,08,26,11306.100,8,52.142089,-6.609039,41.50,2.080,0.000003878391,4.10
01,08,21,03,13,27,11607.610,6,52.144858,-6.621295,47.50,1.870,0.000001915499,4.10
01,08,21,03,18,27,11907.610,7,52.145154,-6.627642,47.00,1.505,0.000003344838,4.10
01,08,21,03,23,28,12208.105,7,52.146804,-6.666106,42.50,1.675,0.000002168119,4.10
01,08,21,03,28,28,12508.625,8,52.148803,-6.703236,49.25,1.950,0.000002706566,4.10
01,08,21,03,33,29,12809.110,6,52.150443,-6.736253,44.75,2.005,0.000001089444,4.10
01,08,21,03,38,29,13109.105,6,52.151827,-6.767657,43.75,2.135,0.000000375906,4.10
01,08,21,03,43,29,13409.125,9,52.142969,-6.803193,58.75,2.180,0.000003902584,4.10
01,08,21,03,48,29,13709.630,6,52.128707,-6.837693,47.25,1.900,0.000001902470,4.10
01,08,21,03,53,30,14010.130,7,52.113357,-6.874237,45.75,1.740,0.000001452157,4.10
01,08,21,03,58,30,14310.140,8,52.102540,-6.915782,43.50,2.055,0.000003885714,4.10
01,08,21,04,03,30,14610.635,7,52.093922,-6.955767,43.75,2.045,0.000000745801,4.10
01,08,21,04,08,32,14912.125,6,52.084435,-6.996956,55.75,1.875,0.000004877519,4.10
01,08,21,04,13,31,15211.115,7,52.075571,-7.036248,33.25,2.035,0.000007094457,4.10
01,08,21,04,18,31,15511.655,7,52.071120,-7.067266,27.25,1.965,0.000001735758,4.10
01,08,21,04,23,32,15812.125,6,52.065399,-7.102831,14.50,1.855,0.000002519843,4.10
01,08,21,04,28,32,16112.135,6,52.058357,-7.139944,24.75,2.075,0.000002255252,4.10
01,08,21,04,33,33,16413.645,6,52.052611,-7.172691,47.25,2.000,0.000003725602,4.10
01,08,21,04,38,34,16714.680,6,52.052780,-7.173115,56.50,1.625,0.000001634888,4.10
01,08,21,04,43,35,17015.645,6,52.052733,-7.174653,49.50,1.475,0.000004690098,4.10
01,08,21,04,48,38,17318.675,6,52.052855,-7.175112,76.00,1.585,0.000003424368,4.08
01,08,21,04,53,36,17616.155,7,52.052458,-7.176303,56.50,1.970,0.000004626959,4.08
01,08,21,04,58,36,17916.150,7,52.052399,-7.177295,53.75,2.345,0.000002183378,4.08
01,08,21,05,03,38,18218.675,5,52.052675,-7.177911,86.75,2.100,0.000000223992,4.10
01,08,21,05,08,37,18517.680,6,52.052287,-7.178669,57.25,1.555,0.000004196845,4.10
01,08,21,05,13,38,18818.685,6,52.052292,-7.179405,70.50,1.410,0.000003017055,4.08
01,08,21,05,18,41,19121.650,5,52.052312,-7.180334,85.25,1.595,0.000000191511,4.08
01,08,21,05,23,40,19420.675,6,52.051959,-7.181031,62.25,1.755,0.000003762560,4.10
01,08,21,05,28,41,19721.655,6,52.051879,-7.182007,57.25,1.745,0.000004688355,4.10
01,08,21,05,33,42,20022.665,6,52.051744,-7.182639,52.25,1.655,0.000002915121,4.08
01,08,21,05,38,42,20322.675,7,52.051655,-7.183467,61.00,1.625,0.000003157756,4.10
01,08,21,05,43,44,20624.685,7,52.051641,-7.184149,56.25,1.665,0.000006893056,4.08
01,08,21,05,48,45,20925.175,7,52.051406,-7.185009,70.00,1.950,0.000004953989,4.10
01,08,21,05,53,45,21225.660,6,52.051285,-7.185626,30.50,2.060,0.000001209160,4.08
01,08,21,05,58,45,21525.170,7,52.048974,-7.209192,46.25,1.970,0.000001380758,4.08
01,08,21,06,03,45,21825.170,10,52.047364,-7.238265,53.00,2.125,0.000003830563,4.10
01,08,21,06,08,45,22125.665,8,52.035335,-7.281592,41.50,1.995,0.000003058779,4.10
01,08,21,06,13,46,22426.675,7,52.036736,-7.276186,75.25,1.605,0.000003624254,4.10
01,08,21,06,18,47,22727.175,8,52.030764,-7.294921,53.25,1.730,0.000002343253,4.08
01,08,21,06,23,47,23027.180,7,52.027124,-7.330573,46.75,2.240,0.000003060321,4.10
