day,month,year,hour,minute,second,abs.second,sats,Latitude,Longitude,Altitude,var1,var2,var3
23,07,21,03,00,13,10813.580,7,52.153802,-6.640276,60.25,9999.999,0.000001864448,4.12
23,07,21,03,05,14,11114.630,7,52.153840,-6.639698,75.25,0.105,0.000002377982,4.12
23,07,21,03,10,15,11415.635,7,52.156075,-6.646532,71.00,-0.605,0.000002286986,4.14
23,07,21,03,15,16,11716.635,7,52.155869,-6.645867,68.50,-0.720,0.000001890883,4.14
23,07,21,03,20,17,12017.630,7,52.155456,-6.644992,57.00,-0.425,0.000001170295,4.14
23,07,21,03,25,18,12318.625,6,52.155136,-6.644147,55.00,-0.225,0.000000363506,4.14
23,07,21,03,30,19,12619.635,7,52.154517,-6.643293,59.25,-0.270,0.000002772759,4.14
23,07,21,03,35,21,12921.130,7,52.154252,-6.642398,61.75,-0.140,0.000002011947,4.12
23,07,21,03,40,21,13221.640,6,52.153829,-6.641538,67.75,-0.050,0.000002626066,4.12
23,07,21,03,45,22,13522.130,6,52.153591,-6.640743,49.00,-0.070,0.000000478717,4.12
23,07,21,03,50,21,13821.630,6,52.153323,-6.639916,58.00,-0.130,0.000001162399,4.14
23,07,21,03,55,22,14122.140,6,52.152946,-6.638864,63.50,-0.145,0.000002390045,4.12
23,07,21,04,00,22,14422.635,6,52.152514,-6.637873,45.00,-0.120,0.000002600831,4.12
23,07,21,04,05,24,14724.650,6,52.152200,-6.636969,47.50,-0.345,0.000001555734,4.12
23,07,21,04,10,24,15024.145,6,52.151899,-6.636174,67.50,-0.215,0.000002755880,4.12
23,07,21,04,15,25,15325.155,7,52.151514,-6.635192,47.00,0.215,0.000000778255,4.12
23,07,21,04,20,25,15625.655,6,52.151091,-6.634303,52.00,0.120,0.000001597093,4.12
23,07,21,04,25,28,15928.650,6,52.150687,-6.633742,74.50,-0.395,0.000006003104,4.12
23,07,21,04,30,27,16227.155,6,52.150235,-6.632777,52.25,9999.999,0.000002774412,4.12
23,07,21,04,35,26,16526.645,6,52.151608,-6.646521,33.00,-0.100,0.000001375000,4.12
23,07,21,04,40,27,16827.670,7,52.151184,-6.645047,30.75,-0.195,0.000001509678,4.12
23,07,21,04,45,28,17128.665,7,52.151607,-6.644026,42.25,-0.380,0.000001200261,4.12
23,07,21,04,50,29,17429.680,6,52.151077,-6.641912,38.00,-0.420,0.000001105475,4.12
23,07,21,04,56,17,17777.430,6,52.150350,-6.639631,34.25,0.035,0.000000932287,4.14
23,07,21,05,01,20,18080.735,5,52.149521,-6.637946,38.00,9999.999,0.000000397641,4.12
23,07,21,05,06,20,18380.185,7,52.154073,-6.647671,47.25,-0.040,0.000003121976,4.12
23,07,21,05,11,20,18680.680,6,52.157056,-6.640667,51.50,-0.105,0.000000769998,4.12
23,07,21,05,16,53,19013.355,8,52.163023,-6.634593,49.25,-0.015,0.000004389746,4.12
23,07,21,05,21,53,19313.705,6,52.163242,-6.634290,55.50,0.075,0.000002867300,4.12
23,07,21,05,26,57,19617.735,4,52.163221,-6.633131,55.00,-0.235,0.000000496029,4.12
23,07,21,05,31,55,19915.695,6,52.162725,-6.632411,62.00,-0.440,0.000004152377,4.12
23,07,21,05,36,56,20216.710,6,52.162299,-6.631034,99.25,-0.400,0.000002887858,4.12
23,07,21,05,41,57,20517.690,7,52.161627,-6.629801,86.50,-0.280,0.000000754499,4.12
23,07,21,05,46,59,20819.680,5,52.161023,-6.628392,99.75,-0.255,0.000000549512,4.12
23,07,21,05,51,58,21118.695,7,52.160340,-6.627912,55.75,-0.300,0.000004854979,4.12
23,07,21,05,56,59,21419.190,8,52.159680,-6.627272,34.25,-0.080,0.000007682809,4.12
23,07,21,06,01,59,21719.200,6,52.159412,-6.626315,90.75,0.305,0.000002791655,4.12
23,07,21,06,06,59,22019.695,6,52.158440,-6.625411,46.50,0.140,0.000002527023,4.12
23,07,21,06,12,07,22327.510,6,52.157840,-6.624698,66.50,0.020,0.000003059975,4.12
23,07,21,06,17,01,22621.700,6,52.156979,-6.623772,46.50,0.045,0.000001813704,4.12
23,07,21,06,22,04,22924.695,6,52.156304,-6.623081,40.00,-0.290,0.000001197373,4.12
23,07,21,06,27,03,23223.700,6,52.155638,-6.622108,57.75,-0.470,0.000001265329,4.12
23,07,21,06,32,03,23523.700,7,52.154972,-6.621264,48.00,-0.390,0.000002363474,4.12
23,07,21,06,37,04,23824.710,7,52.154305,-6.620184,60.50,-0.255,0.000003954436,4.12
23,07,21,06,42,06,24126.705,6,52.153473,-6.619230,40.25,-0.225,0.000001305744,4.12
23,07,21,06,47,06,24426.705,7,52.152747,-6.618644,46.25,-0.280,0.000003796084,4.12
23,07,21,06,52,07,24727.710,6,52.151952,-6.617905,29.50,-0.320,0.000000585638,4.12
23,07,21,06,57,08,25028.710,6,52.151139,-6.617384,30.00,-0.310,0.000000767497,4.12
23,07,21,07,02,11,25331.710,5,52.150234,-6.617109,33.50,-0.285,0.000001175798,4.12
23,07,21,07,07,09,25629.705,7,52.149233,-6.616821,48.50,-0.280,0.000001545627,4.12
23,07,21,07,12,11,25931.720,6,52.148402,-6.616460,33.75,-0.285,0.000000292940,4.12
23,07,21,07,17,12,26232.715,6,52.147718,-6.616141,43.00,-0.285,0.000001580029,4.12
23,07,21,07,22,13,26533.215,7,52.146907,-6.615860,41.75,-0.035,0.000002127989,4.12
23,07,21,07,27,19,26839.495,5,52.147341,-6.617832,32.50,0.480,0.000000520510,4.12
23,07,21,07,32,13,27133.730,6,52.146744,-6.617779,42.50,9999.999,0.000002771254,4.12
23,07,21,07,37,14,27434.720,6,52.146106,-6.617601,42.75,-0.275,0.000002187371,4.12
23,07,21,07,42,17,27737.735,5,52.144604,-6.617903,-61.25,-0.650,0.000000755447,4.12
23,07,21,07,47,16,28036.730,6,52.144621,-6.617699,51.50,-0.455,0.000002604336,4.12
23,07,21,07,52,17,28337.745,6,52.143920,-6.618276,29.75,-0.165,0.000001043534,4.12
23,07,21,07,57,17,28637.735,6,52.143190,-6.618995,43.00,-0.115,0.000000948177,4.10
23,07,21,08,02,18,28938.235,7,52.142475,-6.619589,47.00,0.010,0.000003037688,4.12
23,07,21,08,09,19,29359.280,6,52.141531,-6.620400,42.00,0.320,0.000000685327,4.10
23,07,21,08,14,36,29676.840,6,52.140991,-6.621044,51.00,0.215,0.000000440478,4.12
23,07,21,08,19,39,29979.775,5,52.140423,-6.621648,42.75,-0.245,0.000000150130,4.10
23,07,21,08,24,38,30278.245,7,52.139939,-6.622680,55.50,-0.220,0.000001794116,4.10
23,07,21,08,29,48,30588.320,7,52.139168,-6.623622,39.75,0.295,0.000002333833,4.10
23,07,21,08,34,47,30887.745,7,52.138537,-6.624608,55.50,9999.999,0.000002092451,4.10
23,07,21,08,39,49,31189.735,6,52.138035,-6.626753,27.75,-0.260,0.000000947170,4.12
23,07,21,08,44,52,31492.790,5,52.137242,-6.628435,52.50,-0.515,0.000001325670,4.10
23,07,21,08,49,51,31791.755,6,52.136691,-6.631215,53.75,-0.355,0.000001589644,4.12
23,07,21,08,55,14,32114.885,6,52.135993,-6.633086,49.25,-0.100,0.000000984725,4.12
23,07,21,09,00,15,32415.260,7,52.135546,-6.634166,35.00,0.200,0.000001024973,4.12
23,07,21,09,05,20,32720.820,7,52.128534,-6.645681,44.50,0.190,0.000000931271,4.12
23,07,21,09,11,15,33075.980,6,52.123353,-6.648925,44.50,-0.105,0.000001793394,4.12
23,07,21,09,16,49,33409.945,7,52.120022,-6.649505,37.25,-0.185,0.000003110202,4.10
23,07,21,09,21,50,33710.765,8,52.118329,-6.652473,34.25,-0.185,0.000004128765,4.10
23,07,21,09,26,51,34011.765,7,52.117649,-6.653547,47.25,-0.235,0.000004246551,4.10
23,07,21,09,31,52,34312.755,8,52.115086,-6.654152,51.25,-0.265,0.000004591172,4.10
23,07,21,09,36,54,34614.765,6,52.114419,-6.655057,23.00,-0.255,0.000004322778,4.10
23,07,21,09,41,54,34914.755,8,52.113665,-6.656178,50.50,-0.235,0.000004933328,4.10
23,07,21,09,46,56,35216.775,6,52.113122,-6.657140,50.75,-0.225,0.000002293880,4.10
23,07,21,09,51,56,35516.265,7,52.112413,-6.658043,34.25,0.025,0.000003336265,4.10
23,07,21,09,56,57,35817.775,6,52.111780,-6.658923,48.50,0.145,0.000001219000,4.12
23,07,21,10,01,57,36117.765,8,52.115571,-6.662986,35.25,-0.170,0.000006672094,4.12
23,07,21,10,06,58,36418.780,9,52.115323,-6.664670,52.00,-0.385,0.000005240343,4.10
23,07,21,10,11,59,36719.775,8,52.114987,-6.666321,46.75,-0.330,0.000006628401,4.10
23,07,21,10,17,00,37020.780,7,52.114861,-6.668118,33.50,-0.195,0.000006036173,4.10
23,07,21,10,22,01,37321.785,7,52.114725,-6.669690,47.50,-0.150,0.000002541181,4.10
23,07,21,10,27,02,37622.790,7,52.114485,-6.671541,47.75,-0.190,0.000001893014,4.10
23,07,21,10,32,04,37924.290,7,52.114421,-6.673226,39.00,0.020,0.000001116455,4.10
23,07,21,10,37,03,38223.790,7,52.114150,-6.675239,39.50,0.145,0.000004093366,4.10
23,07,21,10,42,05,38525.275,7,52.114223,-6.678202,38.00,0.095,0.000003755049,4.12
23,07,21,10,47,05,38825.275,7,52.114830,-6.680654,45.50,0.250,0.000005504760,4.10
23,07,21,10,52,04,39124.790,7,52.115412,-6.682534,18.00,0.110,0.000002642977,4.10
23,07,21,10,57,06,39426.790,6,52.116075,-6.684265,42.25,-0.280,0.000001422435,4.10
23,07,21,11,02,09,39729.810,5,52.115798,-6.685718,56.75,-0.395,0.000000673465,4.10
23,07,21,11,07,10,40030.825,6,52.115869,-6.687314,45.00,-0.240,0.000003131756,4.10
23,07,21,11,12,09,40329.820,6,52.115992,-6.689393,34.00,-0.100,0.000003259596,4.10
23,07,21,11,17,09,40629.300,7,52.105005,-6.688111,40.25,0.130,0.000004031243,4.10
23,07,21,11,22,09,40929.300,10,52.076192,-6.670831,41.25,0.415,0.000005417452,4.10
23,07,21,11,27,09,41229.815,7,52.056983,-6.643744,39.25,0.200,0.000003955549,4.10
23,07,21,11,32,10,41530.310,8,52.035734,-6.619753,37.50,-0.045,0.000003297874,4.10
23,07,21,11,37,10,41830.815,8,52.033091,-6.620645,47.00,-0.060,0.000003297807,4.10
23,07,21,11,42,12,42132.810,6,52.031838,-6.623206,34.25,-0.195,0.000003231726,4.10
23,07,21,11,47,11,42431.325,6,52.030573,-6.625649,22.00,0.000,0.000003528534,4.10
23,07,21,11,52,11,42731.330,9,52.014543,-6.606639,47.25,0.425,0.000004640296,4.10
23,07,21,11,57,12,43032.815,6,51.999649,-6.591357,38.25,0.285,0.000002227485,4.10
23,07,21,12,02,13,43333.325,9,51.990263,-6.564649,48.00,0.000,0.000004237526,4.10
23,07,21,12,07,12,43632.820,7,51.969977,-6.554791,52.75,-0.070,0.000001262065,4.10
23,07,21,12,13,37,44017.220,6,51.960680,-6.546918,25.75,-0.015,0.000002897804,4.10
23,07,21,12,18,37,44317.325,8,51.959668,-6.547390,55.25,0.300,0.000001957103,4.10
23,07,21,12,23,36,44616.320,8,51.959917,-6.517351,42.25,0.480,0.000004576141,4.10
23,07,21,12,28,40,44920.380,8,51.969650,-6.495561,40.50,0.440,0.000005589045,4.10
23,07,21,12,33,48,45228.900,7,51.984014,-6.478710,24.25,0.120,0.000001906899,4.10
23,07,21,12,38,49,45529.330,8,51.995638,-6.455387,40.75,-0.045,0.000003719825,4.10
23,07,21,12,43,49,45829.335,9,52.011366,-6.429980,46.50,0.250,0.000002724548,4.10
23,07,21,12,48,49,46129.340,9,52.029207,-6.407075,35.00,0.485,0.000001226812,4.10
23,07,21,12,53,49,46429.335,7,52.043949,-6.382600,50.50,0.455,0.000002922436,4.10
23,07,21,12,58,49,46729.835,10,52.049149,-6.380858,59.50,0.070,0.000004241104,4.10
23,07,21,13,03,50,47030.840,7,52.047186,-6.385988,49.00,-0.355,0.000001442090,4.10
23,07,21,13,08,51,47331.845,7,52.045134,-6.391180,42.75,-0.370,0.000000620854,4.10
23,07,21,13,13,52,47632.850,7,52.043414,-6.396554,46.75,-0.160,0.000002054038,4.10
23,07,21,13,18,53,47933.350,6,52.041669,-6.401805,50.25,0.205,0.000002037141,4.10
23,07,21,13,23,53,48233.845,7,52.039645,-6.406944,63.75,0.280,0.000002925635,4.10
23,07,21,13,28,53,48533.850,7,52.037927,-6.411056,33.00,-0.115,0.000001572403,4.10
23,07,21,13,33,54,48834.855,8,52.036646,-6.414747,46.50,-0.345,0.000003512569,4.10
23,07,21,13,38,56,49136.855,5,52.029039,-6.421288,54.00,-0.260,0.000001059015,4.10
23,07,21,13,43,56,49436.360,8,52.027929,-6.424249,37.00,0.150,0.000003961467,4.10
23,07,21,13,48,56,49736.860,7,52.027720,-6.428674,42.00,0.315,0.000002205882,4.10
