year,month,day,hour,minute,second,var1,pressure,depth
21,07,23,04,55,14,16.50,1253.00,-0002.55
21,07,23,04,55,16,15.50,1406.00,-0004.08
21,07,23,04,55,18,15.50,1392.00,-0003.94
21,07,23,04,55,20,15.00,1458.50,-0004.61
21,07,23,04,55,22,15.00,1613.00,-0006.17
21,07,23,04,55,24,15.00,1370.00,-0003.72
21,07,23,04,55,53,16.00,1138.00,-0001.39
21,07,23,04,55,55,15.50,1388.00,-0003.90
21,07,23,04,55,57,15.00,1569.50,-0005.73
21,07,23,04,55,59,15.00,1643.00,-0006.47
21,07,23,04,56,01,14.50,1325.00,-0003.27
21,07,23,04,57,43,16.50,1125.00,-0001.26
21,07,23,05,18,15,17.00,1253.00,-0002.55
21,07,23,05,18,17,16.50,1555.00,-0005.58
21,07,23,05,18,19,16.00,1807.50,-0008.12
21,07,23,05,18,21,15.50,2051.50,-0010.58
21,07,23,05,18,23,15.00,2281.00,-0012.89
21,07,23,05,18,25,15.00,2477.50,-0014.86
21,07,23,05,18,27,14.50,2551.50,-0015.61
21,07,23,05,18,29,14.50,2633.50,-0016.43
21,07,23,05,18,31,14.50,2688.00,-0016.98
21,07,23,05,18,33,14.50,2703.50,-0017.14
21,07,23,05,18,35,14.50,2696.50,-0017.07
21,07,23,05,18,37,14.50,2638.50,-0016.48
21,07,23,05,18,39,14.50,2539.50,-0015.49
21,07,23,05,18,41,14.00,2413.00,-0014.21
21,07,23,05,18,43,14.00,2365.00,-0013.73
21,07,23,05,18,45,14.00,2311.50,-0013.19
21,07,23,05,18,47,14.00,2249.50,-0012.57
21,07,23,05,18,49,14.00,2243.00,-0012.50
21,07,23,05,18,51,14.00,2197.50,-0012.05
21,07,23,05,18,53,14.00,1880.50,-0008.86
21,07,23,05,18,55,14.50,1532.50,-0005.36
21,07,23,05,18,57,15.00,1190.00,-0001.91
21,07,23,05,19,43,16.00,1240.50,-0002.42
21,07,23,05,19,45,16.00,1519.00,-0005.22
21,07,23,05,19,47,15.50,1826.00,-0008.31
21,07,23,05,19,49,15.00,2114.00,-0011.21
21,07,23,05,19,51,15.00,2368.00,-0013.76
21,07,23,05,19,53,14.50,2599.00,-0016.09
21,07,23,05,19,55,14.50,2697.00,-0017.07
21,07,23,05,19,57,14.50,2741.50,-0017.52
21,07,23,05,19,59,14.50,2799.00,-0018.10
21,07,23,05,20,01,14.50,2816.00,-0018.27
21,07,23,05,20,03,14.00,2776.00,-0017.87
21,07,23,05,20,05,14.00,2752.00,-0017.63
21,07,23,05,20,07,14.00,2627.50,-0016.37
21,07,23,05,20,09,14.00,2314.50,-0013.22
21,07,23,05,20,11,14.00,2027.00,-0010.33
21,07,23,05,20,13,14.00,1733.50,-0007.38
21,07,23,05,20,15,14.50,1420.00,-0004.23
21,07,23,05,21,03,16.00,1250.50,-0002.52
21,07,23,05,21,05,16.00,1475.50,-0004.78
21,07,23,05,21,07,15.50,1735.50,-0007.40
21,07,23,05,21,09,15.00,1968.00,-0009.74
21,07,23,05,21,11,15.00,1936.50,-0009.42
21,07,23,05,21,13,15.00,1636.50,-0006.40
21,07,23,05,21,15,15.00,1302.50,-0003.04
21,07,23,09,03,35,18.00,1309.00,-0003.11
21,07,23,09,03,37,17.00,1565.50,-0005.69
21,07,23,09,03,39,17.00,1381.50,-0003.84
21,07,23,09,04,49,17.50,1249.00,-0002.50
21,07,23,09,04,51,17.00,1593.00,-0005.97
21,07,23,09,04,53,16.00,1735.50,-0007.40
21,07,23,09,04,55,16.00,1431.00,-0004.34
21,07,23,09,06,05,17.50,1144.00,-0001.45
21,07,23,09,06,07,16.50,1456.50,-0004.59
21,07,23,09,06,09,16.00,1753.00,-0007.58
21,07,23,09,06,11,15.50,2076.00,-0010.82
21,07,23,09,06,13,15.50,2231.50,-0012.39
21,07,23,09,06,15,15.00,2193.50,-0012.01
21,07,23,09,06,17,15.00,2280.50,-0012.88
21,07,23,09,06,19,14.50,2208.50,-0012.16
21,07,23,09,06,21,14.50,2124.50,-0011.31
21,07,23,09,06,23,14.50,1963.50,-0009.69
21,07,23,09,06,25,14.50,1992.50,-0009.98
21,07,23,09,06,27,14.50,1828.00,-0008.33
21,07,23,09,06,29,14.50,1796.00,-0008.01
21,07,23,09,06,31,14.50,1608.00,-0006.12
21,07,23,09,06,33,15.00,1311.00,-0003.13
21,07,23,09,07,05,16.00,1325.50,-0003.27
21,07,23,09,07,07,15.50,1596.00,-0006.00
21,07,23,09,07,09,15.00,1832.00,-0008.37
21,07,23,09,07,11,15.00,1683.50,-0006.88
21,07,23,09,07,13,15.00,1559.00,-0005.62
21,07,23,09,07,15,15.00,1270.50,-0002.72
21,07,23,09,13,04,17.50,1329.50,-0003.31
21,07,23,09,13,06,16.50,1653.00,-0006.57
21,07,23,09,13,08,16.00,2010.50,-0010.17
21,07,23,09,13,10,15.50,2195.00,-0012.02
21,07,23,09,13,12,15.50,2235.50,-0012.43
21,07,23,09,13,14,15.00,2261.50,-0012.69
21,07,23,09,13,16,15.00,2269.50,-0012.77
21,07,23,09,13,18,15.00,2204.50,-0012.12
21,07,23,09,13,20,15.00,2168.50,-0011.76
21,07,23,09,13,22,14.50,2137.50,-0011.44
21,07,23,09,13,24,14.50,1897.00,-0009.02
21,07,23,09,13,26,14.50,1630.00,-0006.34
21,07,23,09,13,28,15.00,1332.00,-0003.34
21,07,23,12,12,57,17.00,1290.00,-0002.92
21,07,23,12,12,59,16.00,1223.00,-0002.24
21,07,23,13,38,59,20.00,1154.00,-0001.55
21,07,23,13,39,01,18.00,1506.50,-0005.10
21,07,23,13,39,03,17.00,1859.00,-0008.64
21,07,23,13,39,05,16.50,2194.00,-0012.01
21,07,23,13,39,07,16.00,2566.00,-0015.75
21,07,23,13,39,09,15.50,2967.00,-0019.79
21,07,23,13,39,11,15.00,2915.00,-0019.26
21,07,23,13,39,13,15.00,2756.00,-0017.67
21,07,23,13,39,15,14.50,2467.00,-0014.76
21,07,23,13,39,17,14.50,2269.50,-0012.77
21,07,23,13,39,19,14.50,2043.50,-0010.50
21,07,23,13,39,21,14.50,1789.50,-0007.94
21,07,23,13,39,23,14.00,1459.00,-0004.62
