year,month,day,hour,minute,second,var1,pressure,depth
21,08,01,12,46,10,16.00,1285.50,-0002.87
21,08,01,12,46,12,16.00,1495.50,-0004.98
21,08,01,12,46,14,15.50,1577.00,-0005.80
21,08,01,12,46,16,15.50,1773.00,-0007.78
21,08,01,12,46,18,15.50,1959.50,-0009.65
21,08,01,12,46,20,15.50,2111.00,-0011.18
21,08,01,12,46,22,15.50,2386.50,-0013.95
21,08,01,12,46,24,15.50,2518.50,-0015.28
21,08,01,12,46,26,15.50,2622.50,-0016.32
21,08,01,12,46,28,15.50,2582.50,-0015.92
21,08,01,12,46,30,15.50,2283.50,-0012.91
21,08,01,12,46,32,15.50,2046.50,-0010.53
21,08,01,12,46,34,15.50,1840.00,-0008.45
21,08,01,12,46,36,15.50,1532.00,-0005.35
21,08,01,12,46,38,15.50,1212.00,-0002.13
21,08,01,16,41,57,17.00,1211.00,-0002.12
21,08,01,16,41,59,16.50,1139.00,-0001.40
21,08,01,16,42,01,16.00,1239.00,-0002.40
21,08,01,16,42,09,16.00,1275.00,-0002.77
21,08,01,16,42,11,16.00,1268.00,-0002.70
21,08,01,16,42,13,15.50,1128.50,-0001.29
21,08,01,16,42,23,15.50,1171.50,-0001.73
21,08,01,16,42,25,15.50,1269.00,-0002.71
21,08,01,16,42,35,15.50,1278.00,-0002.80
21,08,01,16,42,37,15.50,1388.50,-0003.91
21,08,01,16,42,39,15.50,1416.00,-0004.18
21,08,01,16,42,41,15.50,1238.00,-0002.39
21,08,01,16,43,09,15.50,1197.00,-0001.98
21,08,01,16,43,11,15.50,1504.50,-0005.08
21,08,01,16,43,13,15.50,1477.50,-0004.80
21,08,01,16,43,15,15.50,1538.50,-0005.42
21,08,01,16,43,17,15.50,1529.00,-0005.32
21,08,01,16,43,19,15.50,1613.50,-0006.17
21,08,01,16,43,21,15.50,1606.00,-0006.10
21,08,01,16,43,23,15.50,1565.50,-0005.69
21,08,01,16,43,25,15.50,1306.00,-0003.08
21,08,01,16,43,43,15.50,1273.50,-0002.75
21,08,01,16,43,45,15.50,1399.00,-0004.01
21,08,01,16,43,47,15.50,1434.50,-0004.37
21,08,01,16,43,49,15.50,1498.50,-0005.01
21,08,01,16,43,51,15.50,1563.50,-0005.67
21,08,01,16,43,53,15.50,1306.00,-0003.08
21,08,01,16,44,07,15.50,1114.00,-0001.15
21,08,01,16,44,09,15.50,1234.50,-0002.36
21,08,01,16,44,11,15.50,1363.00,-0003.65
21,08,01,16,44,13,15.50,1380.00,-0003.82
21,08,01,16,44,15,15.50,1425.00,-0004.28
21,08,01,16,44,17,15.50,1279.50,-0002.81
21,08,01,16,44,19,15.50,1196.00,-0001.97
21,08,01,16,44,41,15.50,1126.00,-0001.27
21,08,01,16,44,43,15.50,1350.00,-0003.52
21,08,01,16,44,45,15.50,1277.50,-0002.79
21,08,01,16,44,47,15.50,1106.00,-0001.07
21,08,01,16,45,27,15.50,1262.50,-0002.64
21,08,01,16,45,29,15.50,1427.00,-0004.30
21,08,01,16,45,31,15.50,1533.00,-0005.36
21,08,01,16,45,33,15.50,1659.00,-0006.63
21,08,01,16,45,35,15.50,1423.50,-0004.26
21,08,01,16,45,37,15.50,1107.50,-0001.08
21,08,01,16,45,59,15.50,1130.00,-0001.31
21,08,01,16,46,01,15.50,1182.50,-0001.84
21,08,01,16,46,03,15.50,1127.00,-0001.28
21,08,01,17,30,03,16.50,1107.50,-0001.08
21,08,01,17,30,05,16.00,1348.50,-0003.51
21,08,01,17,30,07,16.00,1613.50,-0006.17
21,08,01,17,30,09,15.50,1653.00,-0006.57
21,08,01,17,30,11,15.50,1478.00,-0004.81
21,08,01,17,30,13,15.50,1397.50,-0004.00
21,08,01,17,30,15,15.50,1209.00,-0002.10
21,08,01,17,30,41,15.50,1302.50,-0003.04
21,08,01,17,30,43,15.50,1602.50,-0006.06
21,08,01,17,30,45,15.50,1860.00,-0008.65
21,08,01,17,30,47,15.50,2020.00,-0010.26
21,08,01,17,30,49,15.00,1842.50,-0008.48
21,08,01,17,30,51,15.00,1657.50,-0006.61
21,08,01,17,30,53,15.50,1406.00,-0004.08
21,08,01,17,30,55,15.50,1105.00,-0001.06
21,08,01,17,32,19,15.50,1236.50,-0002.38
21,08,01,17,32,21,15.50,1312.00,-0003.14
21,08,01,17,32,23,15.50,1314.50,-0003.16
21,08,01,17,32,25,15.50,1131.00,-0001.32
21,08,01,17,32,47,15.50,1243.50,-0002.45
21,08,01,17,32,49,15.50,1453.50,-0004.56
21,08,01,17,32,51,15.50,1618.00,-0006.22
21,08,01,17,32,53,15.50,1946.50,-0009.52
21,08,01,17,32,55,15.00,1923.00,-0009.29
21,08,01,17,32,57,15.00,1906.00,-0009.11
21,08,01,17,32,59,15.00,2095.00,-0011.02
21,08,01,17,33,01,15.00,2096.50,-0011.03
21,08,01,17,33,03,15.00,1799.50,-0008.04
21,08,01,17,33,05,15.00,1489.50,-0004.92
21,08,01,17,33,07,15.00,1182.00,-0001.83
21,08,01,17,35,45,16.00,1242.50,-0002.44
21,08,01,17,35,47,16.00,1481.00,-0004.84
21,08,01,17,35,49,15.50,1693.00,-0006.97
21,08,01,17,35,51,15.50,1940.50,-0009.46
21,08,01,17,35,53,15.50,2030.00,-0010.36
21,08,01,17,35,55,15.50,2287.50,-0012.95
21,08,01,17,35,57,15.00,2628.50,-0016.38
21,08,01,17,35,59,15.00,3004.00,-0020.16
21,08,01,17,36,01,14.50,3307.00,-0023.21
21,08,01,17,36,03,14.50,3375.50,-0023.90
21,08,01,17,36,05,14.50,3384.00,-0023.98
21,08,01,17,36,07,14.00,3387.50,-0024.02
21,08,01,17,36,09,14.00,3446.50,-0024.61
21,08,01,17,36,11,14.00,3277.50,-0022.91
21,08,01,17,36,13,14.00,3037.50,-0020.50
21,08,01,17,36,15,14.50,2804.50,-0018.15
21,08,01,17,36,17,14.50,2556.50,-0015.66
21,08,01,17,36,19,14.50,2292.50,-0013.00
21,08,01,17,36,21,14.50,2019.50,-0010.26
21,08,01,17,36,23,15.00,1731.50,-0007.36
21,08,01,17,36,25,15.00,1425.00,-0004.28
21,08,01,17,36,27,15.00,1106.00,-0001.07
21,08,01,18,48,24,16.00,1195.00,-0001.96
21,08,01,18,48,26,16.00,1392.50,-0003.95
21,08,01,18,48,28,15.50,1464.50,-0004.67
