year,month,day,hour,minute,second,var1,pressure,depth
21,07,18,05,21,29,18.00,1138.50,-0001.39
21,07,18,05,21,31,17.50,1302.50,-0003.04
21,07,18,05,21,33,17.50,1328.00,-0003.30
21,07,18,05,21,35,17.00,1431.50,-0004.34
21,07,18,05,21,37,17.00,1491.50,-0004.94
21,07,18,05,21,39,17.00,1180.50,-0001.82
21,07,18,05,24,44,17.00,1179.00,-0001.80
21,07,18,05,24,46,17.00,1242.50,-0002.44
21,07,18,05,24,48,17.00,1243.00,-0002.44
21,07,18,05,24,50,17.00,1264.00,-0002.66
21,07,18,05,24,52,16.50,1333.00,-0003.35
21,07,18,05,24,54,16.50,1391.00,-0003.93
21,07,18,05,24,56,16.50,1474.50,-0004.77
21,07,18,05,24,58,16.00,1698.50,-0007.03
21,07,18,05,25,00,15.50,1850.50,-0008.56
21,07,18,05,25,02,15.50,2015.00,-0010.21
21,07,18,05,25,04,15.00,1716.50,-0007.21
21,07,18,05,25,06,15.50,1422.00,-0004.25
21,07,18,05,34,05,17.50,1207.00,-0002.08
21,07,18,05,34,07,17.50,1163.50,-0001.64
21,07,18,05,34,09,17.50,1175.00,-0001.76
21,07,18,05,34,11,17.00,1252.50,-0002.54
21,07,18,05,34,13,17.00,1262.50,-0002.64
21,07,18,05,34,15,17.00,1238.50,-0002.40
21,07,18,05,50,42,18.50,1255.50,-0002.57
21,07,18,05,50,44,17.50,1550.00,-0005.53
21,07,18,05,50,46,17.00,1813.00,-0008.18
21,07,18,05,50,48,16.50,1812.50,-0008.17
21,07,18,05,50,50,16.00,2041.50,-0010.48
21,07,18,05,50,52,15.50,2304.00,-0013.12
21,07,18,05,50,54,15.50,2447.50,-0014.56
21,07,18,05,50,56,15.00,2683.50,-0016.94
21,07,18,05,50,58,15.00,2770.00,-0017.81
21,07,18,05,51,00,14.50,2561.50,-0015.71
21,07,18,05,51,02,14.50,2291.50,-0012.99
21,07,18,05,51,04,15.00,2012.50,-0010.19
21,07,18,05,51,06,15.00,1725.00,-0007.29
21,07,18,05,51,08,15.50,1403.00,-0004.05
