year,month,day,hour,minute,second,var1,pressure,depth
21,07,30,05,15,20,15.00,1279.50,-0002.81
21,07,30,05,15,22,14.50,1112.00,-0001.13
21,07,30,05,20,50,15.00,1171.00,-0001.72
21,07,30,05,20,52,15.00,1263.00,-0002.65
21,07,30,05,20,54,15.00,1328.00,-0003.30
21,07,30,05,20,56,15.00,1350.00,-0003.52
21,07,30,05,20,58,15.00,1355.50,-0003.58
21,07,30,05,21,00,15.00,1528.50,-0005.32
21,07,30,05,21,02,15.00,1478.50,-0004.81
21,07,30,05,21,04,15.00,1573.50,-0005.77
21,07,30,05,21,06,15.00,1303.50,-0003.05
21,07,30,05,26,39,15.00,1172.00,-0001.73
21,07,30,05,26,41,15.00,1120.50,-0001.21
21,07,30,05,27,21,14.50,1102.50,-0001.03
21,07,30,05,30,08,15.00,1150.50,-0001.51
21,07,30,05,33,42,15.00,1119.00,-0001.20
21,07,30,05,34,33,15.00,1114.50,-0001.15
21,07,30,05,49,54,15.50,1116.00,-0001.17
21,07,30,05,49,56,15.00,1281.50,-0002.83
21,07,30,05,49,58,15.00,1440.50,-0004.43
21,07,30,05,50,00,15.00,1575.50,-0005.79
21,07,30,05,50,02,15.00,1471.50,-0004.74
21,07,30,05,50,04,15.00,1170.50,-0001.72
21,07,30,06,01,51,15.00,1127.50,-0001.28
21,07,30,06,01,53,15.00,1161.50,-0001.62
21,07,30,06,06,45,15.00,1177.50,-0001.79
21,07,30,06,06,47,15.00,1239.00,-0002.40
21,07,30,06,07,09,15.00,1273.00,-0002.75
21,07,30,06,07,11,15.00,1549.50,-0005.53
21,07,30,06,07,13,15.00,1925.50,-0009.31
21,07,30,06,07,15,15.00,2251.00,-0012.59
21,07,30,06,07,17,15.00,2028.00,-0010.34
21,07,30,06,07,19,15.00,1713.50,-0007.18
21,07,30,06,07,21,15.00,1456.00,-0004.59
21,07,30,06,07,23,15.00,1376.50,-0003.79
21,07,30,06,09,37,15.00,1232.00,-0002.33
21,07,30,06,09,39,15.00,1178.50,-0001.80
21,07,30,06,33,42,15.00,1127.50,-0001.28
21,07,30,06,36,36,15.00,1254.00,-0002.56
21,07,30,06,36,38,15.00,1407.50,-0004.10
21,07,30,06,36,40,15.00,1204.50,-0002.06
21,07,30,06,37,43,15.00,1104.50,-0001.05
21,07,30,06,37,45,15.00,1159.50,-0001.60
21,07,30,06,38,15,15.00,1125.00,-0001.26
21,07,30,06,38,17,15.00,1141.00,-0001.42
21,07,30,06,39,27,15.00,1123.50,-0001.24
21,07,30,06,39,29,15.00,1302.50,-0003.04
21,07,30,06,41,35,15.00,1132.00,-0001.33
21,07,30,06,47,56,15.00,1136.50,-0001.37
21,07,30,06,49,43,15.00,1119.50,-0001.20
21,07,30,08,05,03,15.50,1102.50,-0001.03
21,07,30,08,05,05,15.00,1336.00,-0003.38
21,07,30,08,05,07,15.00,1192.00,-0001.93
21,07,30,08,05,45,15.00,1147.00,-0001.48
21,07,30,08,05,47,15.00,1306.00,-0003.08
21,07,30,08,05,49,15.00,1503.50,-0005.07
21,07,30,08,05,51,15.00,1474.00,-0004.77
21,07,30,08,05,53,15.00,1521.00,-0005.24
21,07,30,08,05,55,15.00,1807.00,-0008.12
21,07,30,08,05,57,15.00,1832.00,-0008.37
21,07,30,08,05,59,15.00,1653.50,-0006.57
21,07,30,08,06,01,15.00,1285.00,-0002.87
21,07,30,08,06,23,15.00,1300.00,-0003.02
21,07,30,08,06,25,15.00,1555.00,-0005.58
21,07,30,08,06,27,15.00,1796.00,-0008.01
21,07,30,08,06,29,15.00,1950.50,-0009.56
21,07,30,08,06,31,15.00,1728.50,-0007.33
21,07,30,08,06,33,15.00,1406.00,-0004.08
21,07,30,08,07,17,15.50,1106.00,-0001.07
21,07,30,08,07,19,15.00,1368.50,-0003.71
21,07,30,08,07,21,15.00,1676.00,-0006.80
21,07,30,08,07,23,15.00,1936.50,-0009.42
21,07,30,08,07,25,15.00,1996.50,-0010.02
21,07,30,08,07,27,15.00,2088.00,-0010.95
21,07,30,08,07,29,15.00,1703.50,-0007.08
21,07,30,08,07,31,15.00,1343.50,-0003.46
21,07,30,08,08,09,15.00,1225.00,-0002.26
21,07,30,08,08,11,15.00,1160.00,-0001.61
21,07,30,08,10,36,15.50,1256.00,-0002.58
21,07,30,08,10,38,15.50,1565.00,-0005.68
21,07,30,08,10,40,15.50,1850.50,-0008.56
21,07,30,08,10,42,15.50,2032.00,-0010.38
21,07,30,08,10,44,15.00,1931.00,-0009.37
21,07,30,08,10,46,15.00,1723.00,-0007.27
21,07,30,08,10,48,15.00,1314.00,-0003.16
21,07,30,08,10,50,15.00,1188.50,-0001.90
21,07,30,08,16,47,16.00,1192.50,-0001.94
21,07,30,08,16,49,15.50,1277.50,-0002.79
21,07,30,08,16,51,15.50,1338.50,-0003.41
21,07,30,08,16,53,15.50,1491.00,-0004.94
21,07,30,08,16,55,15.50,1329.00,-0003.31
21,07,30,08,19,33,15.00,1108.50,-0001.09
21,07,30,08,26,09,15.50,1397.50,-0004.00
21,07,30,08,26,11,15.00,1665.00,-0006.69
21,07,30,08,26,13,15.00,1888.00,-0008.93
21,07,30,08,26,15,15.00,1688.00,-0006.92
21,07,30,08,26,17,15.00,1392.00,-0003.94
21,07,30,08,28,19,15.50,1157.50,-0001.58
21,07,30,08,28,21,15.50,1509.50,-0005.13
21,07,30,08,28,23,15.50,1704.50,-0007.09
21,07,30,08,28,25,15.00,2086.50,-0010.93
21,07,30,08,28,27,15.00,2329.50,-0013.37
21,07,30,08,28,29,15.00,2538.50,-0015.48
21,07,30,08,28,31,15.00,2679.50,-0016.90
21,07,30,08,28,33,15.00,2777.50,-0017.88
21,07,30,08,28,35,15.00,2861.50,-0018.73
21,07,30,08,28,37,15.00,2931.00,-0019.43
21,07,30,08,28,39,15.00,2805.00,-0018.16
21,07,30,08,28,41,15.00,2625.00,-0016.35
21,07,30,08,28,43,15.00,2242.00,-0012.49
21,07,30,08,28,45,15.00,1904.50,-0009.10
21,07,30,08,28,47,15.00,1517.50,-0005.21
21,07,30,08,28,49,15.00,1151.50,-0001.52
21,07,30,08,52,38,17.50,1253.00,-0002.55
21,07,30,08,52,40,17.00,1458.00,-0004.61
21,07,30,08,52,42,16.50,1710.00,-0007.14
21,07,30,08,52,44,16.50,1837.50,-0008.43
21,07,30,08,52,46,16.00,1738.00,-0007.42
21,07,30,08,52,48,16.00,1659.00,-0006.63
21,07,30,08,52,50,16.00,1804.00,-0008.09
21,07,30,08,52,52,16.00,1764.00,-0007.69
21,07,30,08,52,54,16.00,1405.00,-0004.07
21,07,30,08,55,14,16.50,1320.50,-0003.22
21,07,30,08,55,16,16.00,1643.50,-0006.47
21,07,30,08,55,18,16.00,2007.00,-0010.13
21,07,30,08,55,20,16.00,2365.00,-0013.73
21,07,30,08,55,22,16.00,2616.00,-0016.26
21,07,30,08,55,24,16.00,2764.50,-0017.75
21,07,30,08,55,26,16.00,3041.50,-0020.54
21,07,30,08,55,28,16.00,3198.50,-0022.12
21,07,30,08,55,30,15.50,3018.00,-0020.30
21,07,30,08,55,32,15.50,2836.00,-0018.47
21,07,30,08,55,34,15.50,2568.50,-0015.78
21,07,30,08,55,36,15.50,2409.00,-0014.17
21,07,30,08,55,38,15.50,2275.50,-0012.83
21,07,30,08,55,40,15.50,1955.00,-0009.61
21,07,30,08,55,42,15.50,1645.50,-0006.49
21,07,30,08,55,44,15.50,1312.50,-0003.14
21,07,30,08,59,28,16.50,1119.50,-0001.20
21,07,30,08,59,30,16.00,1511.50,-0005.15
21,07,30,08,59,32,16.00,1863.50,-0008.69
21,07,30,08,59,34,16.00,1936.50,-0009.42
21,07,30,08,59,36,16.00,1909.50,-0009.15
21,07,30,08,59,38,15.50,1672.00,-0006.76
21,07,30,08,59,40,15.50,1335.00,-0003.37
21,07,30,09,04,46,16.50,1304.00,-0003.06
