year,month,day,hour,minute,second,var1,pressure,depth
21,07,25,05,48,07,18.00,1106.00,-0001.07
21,07,25,05,48,09,18.00,1119.50,-0001.20
21,07,25,05,48,11,18.00,1168.00,-0001.69
21,07,25,05,48,13,18.50,1195.50,-0001.97
21,07,25,07,06,20,19.00,1176.00,-0001.77
21,07,25,07,06,22,19.00,1477.50,-0004.80
21,07,25,07,06,24,19.50,1690.50,-0006.95
21,07,25,07,06,26,19.50,2085.50,-0010.92
21,07,25,07,06,28,18.00,2263.00,-0012.71
21,07,25,07,06,30,17.50,2351.00,-0013.59
21,07,25,07,06,32,17.00,2473.00,-0014.82
21,07,25,07,06,34,16.50,2251.50,-0012.59
21,07,25,07,06,36,17.00,2017.50,-0010.24
21,07,25,07,06,38,18.50,1806.00,-0008.11
21,07,25,07,06,40,19.00,1500.50,-0005.04
21,07,25,07,06,42,19.00,1161.00,-0001.62
21,07,25,07,07,20,19.50,1432.50,-0004.35
21,07,25,07,07,22,19.50,1519.50,-0005.23
21,07,25,07,07,24,19.50,1599.00,-0006.03
21,07,25,07,07,26,19.50,1512.50,-0005.16
21,07,25,07,07,28,19.50,1259.50,-0002.61
21,07,25,07,15,15,20.00,1272.50,-0002.74
21,07,25,07,15,17,20.00,1618.50,-0006.22
21,07,25,07,15,19,20.00,1959.00,-0009.65
21,07,25,07,15,21,19.00,2316.50,-0013.24
21,07,25,07,15,23,18.00,2558.50,-0015.68
21,07,25,07,15,25,17.00,2548.50,-0015.58
21,07,25,07,15,27,17.00,2520.50,-0015.30
21,07,25,07,15,29,16.50,2789.00,-0018.00
21,07,25,07,15,31,16.00,2776.00,-0017.87
21,07,25,07,15,33,16.00,2566.50,-0015.76
21,07,25,07,15,35,16.50,2294.00,-0013.02
21,07,25,07,15,37,17.00,2011.00,-0010.17
21,07,25,07,15,39,18.00,1720.00,-0007.24
21,07,25,07,15,41,18.50,1419.00,-0004.22
21,07,25,07,16,23,19.00,1176.50,-0001.78
21,07,25,07,16,25,19.50,1387.50,-0003.90
21,07,25,07,16,27,19.50,1186.50,-0001.88
21,07,25,07,32,17,20.00,1165.00,-0001.66
21,07,25,07,32,19,20.00,1230.50,-0002.32
21,07,25,07,35,43,20.50,1208.00,-0002.09
21,07,25,07,35,45,20.00,1424.50,-0004.27
21,07,25,07,35,47,20.00,1427.50,-0004.30
21,07,25,07,35,49,20.00,1495.00,-0004.98
21,07,25,07,35,51,20.00,1487.50,-0004.90
21,07,25,07,35,53,20.00,1476.00,-0004.79
21,07,25,07,35,55,20.00,1193.00,-0001.94
