year,month,day,hour,minute,second,var1,pressure,depth
21,07,26,05,19,10,15.50,1107.50,-0001.08
21,07,26,05,19,12,15.00,1101.50,-0001.02
21,07,26,05,23,32,15.50,1139.50,-0001.40
21,07,26,09,36,06,16.50,1312.50,-0003.14
21,07,26,09,36,08,16.00,1650.00,-0006.54
21,07,26,09,36,10,15.50,1934.00,-0009.40
21,07,26,09,36,12,15.50,1973.50,-0009.79
21,07,26,09,36,14,15.50,1829.50,-0008.34
21,07,26,09,36,16,15.00,1585.00,-0005.89
21,07,26,09,36,18,15.00,1383.50,-0003.86
21,07,26,09,47,22,16.00,1416.00,-0004.18
21,07,26,09,47,24,15.50,1450.50,-0004.53
21,07,26,09,47,26,15.00,1248.50,-0002.50
21,07,26,09,52,08,16.00,1132.00,-0001.33
21,07,26,09,52,10,15.50,1350.00,-0003.52
21,07,26,09,52,12,15.00,1146.50,-0001.47
21,07,26,09,53,00,16.00,1141.00,-0001.42
21,07,26,09,53,40,16.00,1185.50,-0001.87
21,07,26,09,53,42,15.50,1434.00,-0004.37
21,07,26,09,53,44,15.00,1650.50,-0006.54
21,07,26,09,53,46,15.00,1817.50,-0008.22
21,07,26,09,53,48,15.00,1772.50,-0007.77
21,07,26,09,53,50,15.00,1653.50,-0006.57
21,07,26,09,53,52,15.00,1665.50,-0006.69
21,07,26,09,53,54,14.50,1793.50,-0007.98
21,07,26,09,53,56,14.50,1897.00,-0009.02
21,07,26,09,53,58,14.50,1868.50,-0008.74
21,07,26,09,54,00,14.50,1829.00,-0008.34
21,07,26,09,54,02,14.50,1566.00,-0005.69
21,07,26,09,54,04,14.50,1283.50,-0002.85
21,07,26,09,54,30,15.50,1236.50,-0002.38
21,07,26,09,54,32,15.00,1442.50,-0004.45
21,07,26,09,54,34,15.00,1659.50,-0006.63
21,07,26,09,54,36,14.50,1754.50,-0007.59
21,07,26,09,54,38,14.50,1742.50,-0007.47
21,07,26,09,54,40,14.50,1486.00,-0004.89
21,07,26,09,54,42,14.50,1179.50,-0001.81
21,07,26,09,55,04,15.00,1355.50,-0003.58
21,07,26,09,55,06,15.00,1611.50,-0006.15
21,07,26,09,55,08,14.50,1656.00,-0006.60
21,07,26,09,55,10,14.50,1457.50,-0004.60
21,07,26,09,55,12,14.50,1199.00,-0002.00
21,07,26,10,02,25,17.00,1191.50,-0001.93
21,07,26,10,02,27,16.00,1489.00,-0004.92
21,07,26,10,02,29,15.50,1829.00,-0008.34
21,07,26,10,02,31,15.50,2186.50,-0011.94
21,07,26,10,02,33,15.00,2490.50,-0014.99
21,07,26,10,02,35,15.00,2552.50,-0015.62
21,07,26,10,02,37,15.00,2499.50,-0015.08
21,07,26,10,02,39,14.50,2391.00,-0013.99
21,07,26,10,02,41,14.50,2183.00,-0011.90
21,07,26,10,02,43,14.50,1922.50,-0009.28
21,07,26,10,02,45,14.50,1665.00,-0006.69
21,07,26,10,02,47,14.50,1406.50,-0004.09
21,07,26,10,02,49,14.50,1325.00,-0003.27
21,07,26,10,14,53,15.50,1152.50,-0001.53
21,07,26,10,14,55,15.00,1450.00,-0004.53
21,07,26,10,14,57,15.00,1801.00,-0008.06
21,07,26,10,14,59,14.50,2132.00,-0011.39
21,07,26,10,15,01,14.50,2450.00,-0014.59
21,07,26,10,15,03,14.50,2772.00,-0017.83
21,07,26,10,15,05,14.50,3089.50,-0021.02
21,07,26,10,15,07,14.50,3157.00,-0021.70
21,07,26,10,15,09,14.50,3256.50,-0022.70
21,07,26,10,15,11,14.00,3353.50,-0023.68
21,07,26,10,15,13,14.00,3361.50,-0023.76
21,07,26,10,15,15,14.00,3351.00,-0023.65
21,07,26,10,15,17,14.00,3345.00,-0023.59
21,07,26,10,15,19,14.00,3455.00,-0024.70
21,07,26,10,15,21,14.00,3475.50,-0024.90
21,07,26,10,15,23,14.00,3501.00,-0025.16
21,07,26,10,15,25,14.00,3491.00,-0025.06
21,07,26,10,15,27,14.00,3517.00,-0025.32
21,07,26,10,15,29,14.00,3412.00,-0024.26
21,07,26,10,15,31,14.00,3216.00,-0022.29
21,07,26,10,15,33,14.00,3011.50,-0020.24
21,07,26,10,15,35,14.00,2785.00,-0017.96
21,07,26,10,15,37,14.00,2557.50,-0015.67
21,07,26,10,15,39,14.00,2324.50,-0013.32
21,07,26,10,15,41,14.00,2080.50,-0010.87
21,07,26,10,15,43,14.00,1822.50,-0008.27
21,07,26,10,15,45,14.00,1550.00,-0005.53
21,07,26,10,15,47,14.00,1268.00,-0002.70
21,07,26,11,20,42,16.00,1126.00,-0001.27
21,07,26,11,20,44,15.50,1121.50,-0001.22
21,07,26,11,31,34,15.50,1321.00,-0003.23
21,07,26,11,31,36,15.50,1594.00,-0005.98
21,07,26,11,31,38,15.00,1786.00,-0007.91
21,07,26,11,31,40,15.00,1982.00,-0009.88
21,07,26,11,31,44,15.00,2389.50,-0013.98
21,07,26,11,31,46,15.00,2556.50,-0015.66
21,07,26,11,31,48,14.50,2725.50,-0017.36
21,07,26,11,31,50,14.50,2939.00,-0019.51
21,07,26,11,31,52,14.50,3152.50,-0021.65
21,07,26,11,31,54,14.50,3333.50,-0023.48
21,07,26,11,31,56,14.50,3507.00,-0025.22
21,07,26,11,31,58,14.50,3412.00,-0024.26
21,07,26,11,32,00,14.00,3233.50,-0022.47
21,07,26,11,32,02,14.00,3043.50,-0020.56
21,07,26,11,32,04,14.00,2843.00,-0018.54
21,07,26,11,32,06,14.00,2635.00,-0016.45
21,07,26,11,32,08,14.00,2536.50,-0015.46
21,07,26,11,32,10,14.00,2332.00,-0013.40
21,07,26,11,32,12,14.00,2085.00,-0010.92
21,07,26,11,32,14,14.00,1822.00,-0008.27
21,07,26,11,32,16,14.00,1545.50,-0005.49
21,07,26,11,32,18,14.00,1260.00,-0002.62
21,07,26,11,36,56,17.50,1153.00,-0001.54
21,07,26,11,37,44,16.00,1255.00,-0002.57
21,07,26,11,37,46,15.50,1358.00,-0003.60
21,07,26,11,37,48,15.00,1441.00,-0004.44
21,07,26,11,37,50,15.00,1304.00,-0003.06
21,07,26,11,37,52,15.00,1283.50,-0002.85
21,07,26,11,44,04,19.00,1170.00,-0001.71
21,07,26,11,44,06,17.50,1198.50,-0002.00
21,07,26,11,44,08,16.50,1510.00,-0005.13
21,07,26,11,44,10,16.00,1389.50,-0003.92
21,07,26,11,44,12,15.50,1141.50,-0001.42
21,07,26,11,45,58,16.00,1224.50,-0002.26
21,07,26,11,46,00,15.50,1543.00,-0005.46
21,07,26,11,46,02,15.00,1682.50,-0006.87
21,07,26,11,46,04,15.00,1535.00,-0005.38
21,07,26,11,46,06,14.50,1314.50,-0003.16
21,07,26,11,46,08,14.50,1159.00,-0001.60
21,07,26,12,21,47,22.00,1123.50,-0001.24
