year,month,day,hour,minute,second,var1,pressure,depth
21,08,01,06,01,30,14.50,1154.50,-0001.55
21,08,01,06,01,32,14.50,1244.00,-0002.45
21,08,01,06,01,34,14.50,1207.00,-0002.08
21,08,01,06,01,40,14.50,1116.00,-0001.17
21,08,01,06,01,42,14.50,1133.00,-0001.34
21,08,01,06,01,52,14.50,1297.50,-0002.99
21,08,01,06,01,54,14.50,1251.50,-0002.53
21,08,01,06,01,56,14.50,1271.00,-0002.73
21,08,01,06,01,58,14.50,1213.50,-0002.15
21,08,01,06,02,00,14.50,1308.00,-0003.10
21,08,01,06,02,02,14.50,1321.50,-0003.23
21,08,01,06,02,04,14.50,1181.50,-0001.83
21,08,01,06,02,28,14.50,1143.50,-0001.44
21,08,01,06,02,34,14.50,1121.50,-0001.22
21,08,01,06,02,42,14.50,1257.00,-0002.59
21,08,01,06,02,44,14.50,1114.50,-0001.15
21,08,01,06,02,58,14.50,1154.50,-0001.55
21,08,01,06,03,00,14.50,1312.00,-0003.14
21,08,01,06,03,02,14.50,1167.50,-0001.69
21,08,01,06,03,04,14.50,1108.00,-0001.09
21,08,01,06,03,34,14.50,1174.00,-0001.75
21,08,01,06,03,36,14.50,1355.00,-0003.57
21,08,01,06,03,38,14.50,1199.00,-0002.00
21,08,01,06,03,52,14.50,1287.50,-0002.89
21,08,01,06,03,54,14.50,1164.50,-0001.65
21,08,01,06,03,56,14.50,1150.50,-0001.51
21,08,01,06,03,58,14.50,1195.50,-0001.97
21,08,01,06,04,10,14.50,1152.50,-0001.53
21,08,01,06,04,20,14.50,1146.00,-0001.47
21,08,01,06,04,22,14.50,1235.50,-0002.37
21,08,01,06,04,36,14.50,1115.50,-0001.16
21,08,01,06,04,38,14.50,1252.00,-0002.54
21,08,01,06,04,40,14.50,1201.00,-0002.02
21,08,01,06,04,56,14.50,1145.00,-0001.46
21,08,01,06,04,58,14.50,1182.00,-0001.83
21,08,01,06,05,00,14.50,1119.00,-0001.20
21,08,01,06,05,14,14.50,1286.50,-0002.88
21,08,01,06,05,16,14.50,1189.50,-0001.91
21,08,01,06,05,24,14.50,1156.00,-0001.57
21,08,01,06,05,32,14.50,1108.50,-0001.09
21,08,01,06,05,34,14.50,1260.50,-0002.62
21,08,01,06,05,42,14.50,1125.50,-0001.26
21,08,01,06,05,58,14.50,1267.00,-0002.69
21,08,01,06,06,10,14.50,1282.50,-0002.84
21,08,01,06,06,12,14.50,1202.00,-0002.03
21,08,01,06,06,42,14.50,1211.00,-0002.12
21,08,01,06,06,52,14.50,1248.50,-0002.50
21,08,01,06,07,05,14.50,1255.00,-0002.57
21,08,01,06,07,18,14.50,1119.00,-0001.20
21,08,01,06,07,20,14.50,1314.50,-0003.16
21,08,01,06,07,22,14.50,1239.00,-0002.40
21,08,01,06,07,50,14.50,1150.50,-0001.51
21,08,01,06,07,52,14.50,1240.50,-0002.42
21,08,01,06,09,28,14.50,1127.50,-0001.28
21,08,01,06,09,30,14.50,1219.00,-0002.20
21,08,01,06,09,32,14.50,1191.50,-0001.93
21,08,01,06,09,34,14.50,1125.00,-0001.26
21,08,01,06,09,36,14.50,1170.00,-0001.71
21,08,01,06,09,50,14.50,1278.50,-0002.80
21,08,01,06,09,52,14.50,1160.00,-0001.61
21,08,01,06,10,04,14.50,1256.50,-0002.58
21,08,01,06,10,20,14.50,1145.50,-0001.46
21,08,01,06,10,22,14.50,1228.00,-0002.29
21,08,01,06,10,24,14.50,1330.50,-0003.32
21,08,01,06,10,26,14.50,1153.50,-0001.54
21,08,01,06,10,40,14.50,1180.00,-0001.81
21,08,01,06,10,42,14.50,1299.00,-0003.01
21,08,01,06,10,44,14.50,1130.50,-0001.31
