year,month,day,hour,minute,second,var1,pressure,depth
21,07,21,08,02,54,18.00,1276.50,-0002.78
21,07,21,08,02,56,17.00,1594.50,-0005.98
21,07,21,08,02,58,16.00,1862.50,-0008.68
21,07,21,08,03,00,15.50,2014.00,-0010.20
21,07,21,08,03,02,15.50,2097.50,-0011.04
21,07,21,08,03,04,15.00,2070.50,-0010.77
21,07,21,08,03,06,15.00,2053.50,-0010.60
21,07,21,08,03,08,15.00,1946.50,-0009.52
21,07,21,08,03,10,14.50,2106.00,-0011.13
21,07,21,08,03,12,14.50,2279.00,-0012.87
21,07,21,08,03,14,14.50,2126.00,-0011.33
21,07,21,08,03,16,14.50,1866.00,-0008.71
21,07,21,08,03,18,14.50,1554.00,-0005.57
21,07,21,08,03,20,15.00,1214.50,-0002.16
21,07,21,08,05,24,17.00,1202.50,-0002.04
21,07,21,08,05,26,16.50,1344.50,-0003.47
21,07,21,08,05,28,16.50,1306.00,-0003.08
21,07,21,09,45,28,16.00,1280.50,-0002.82
21,07,21,09,45,30,15.00,1515.00,-0005.18
21,07,21,09,45,32,15.00,1552.00,-0005.55
21,07,21,09,45,34,14.50,1498.50,-0005.01
21,07,21,09,45,36,14.50,1297.00,-0002.99
21,07,21,09,46,22,15.50,1189.50,-0001.91
21,07,21,09,46,54,15.50,1330.50,-0003.32
21,07,21,09,46,56,15.00,1389.50,-0003.92
21,07,21,09,46,58,14.50,1246.50,-0002.48
21,07,21,09,47,14,15.00,1301.50,-0003.03
21,07,21,09,47,16,14.50,1369.00,-0003.71
21,07,21,09,48,02,16.00,1109.50,-0001.10
21,07,21,09,48,04,16.00,1120.00,-0001.21
21,07,21,09,48,50,16.00,1204.50,-0002.06
21,07,21,09,48,52,15.00,1546.00,-0005.49
21,07,21,09,48,54,14.50,1695.00,-0006.99
21,07,21,09,48,56,14.50,1605.50,-0006.09
21,07,21,09,48,58,14.50,1391.50,-0003.94
21,07,21,09,49,00,14.50,1233.50,-0002.35
