transectlengthkm,mxobserved,densitykm2,area_surveyedkm2,Longitude,Latitude,gridsizekm2
4.139586517,1,0.603925051,1.655834607,-6.97193891,52.07293548,16000000
1.132119323,0,0,0.452847729,,,999138.8091
4.139467501,0,0,1.655787001,-6.397232092,51.9177483,16000000
4.782964759,0,0,1.913185904,-8.381878987,51.40541226,16000000
4.139666155,22,13.28609553,1.655866462,-6.160332518,51.98421706,16000000
0,0,,0,-8.842305967,51.29903253,16000000
4.15322764,5,3.009707409,1.661291056,-8.726057179,51.55059056,16000000
4.141718448,1,0.603614184,1.656687379,-7.973736462,51.65432525,16000000
4.137897568,0,0,1.655159027,-6.311128371,52.38345648,16000000
4.42806845,0,0,1.77122738,-8.26106223,51.7643835,16000000
0.261496406,0,0,0.104598562,-8.151206068,51.43993696,16000000
0,0,,0,-5.775125146,52.47796352,16000000
4.14325601,0,0,1.657302404,-8.612509664,51.33446586,16000000
5.004049908,7,3.497167359,2.001619963,-6.270127892,52.09473552,16000000
0,0,,0,-7.180360839,51.24902661,16000000
0,0,,0,-7.51482128,51.54151058,16000000
0,0,,0,-7.866172646,51.32961912,16000000
0,0,,0,-7.921040626,51.43804452,16000000
0,0,,0,,,525743.5078
0,0,,0,-6.353902826,51.6649628,16000000
4.478282294,0,0,1.791312918,-8.55544053,51.2982949,16000000
4.791265498,0,0,1.916506199,-6.793435252,52.14166705,16000000
0,0,,0,-7.407029315,51.3242739,16000000
4.787032243,20,10.44488473,1.914812897,-6.39515104,51.95367536,16000000
4.142276684,0,0,1.656910674,-8.784087277,51.47877793,16000000
0,0,,0,-6.892339664,51.28016693,16000000
4.790083078,96,50.10351513,1.916033231,-8.436282552,51.65745631,15974066.93
4.143593853,0,0,1.657437541,-8.727771068,51.26285394,16000000
0,0,,0,-7.000719382,51.42595886,16000000
4.140303401,5,3.019102416,1.656121361,-6.920291815,51.92815697,16000000
4.784425696,0,0,1.913770278,-6.747702983,51.88900893,16000000
0,0,,0,-6.707871694,51.52851657,16000000
4.397052052,0,0,1.758820821,-7.205262806,52.07672029,16000000
4.140672659,1,0.603766636,1.656269063,-7.504186491,51.86509188,16000000
0,0,,0,-7.344462869,51.46728955,16000000
0,0,,0,-6.465443944,51.73937187,16000000
0,0,,0,-7.632299788,51.47100066,16000000
4.14098307,0,0,1.656393228,-7.796493436,51.79651201,16000000
4.141798511,0,0,1.656719404,-7.68469695,51.65144354,16000000
4.78637259,2,1.044632424,1.914549036,-5.973706091,52.15944384,16000000
0,0,,0,-7.466811273,51.25312984,16000000
0,0,,0,-7.458377952,51.50481272,16000000
0,0,,0,-6.711475318,51.45664018,16000000
2.939430543,4,3.402019491,1.175772217,,,10973944.98
0,0,,0,,,565355.0001
4.79256375,6,3.12984882,1.9170255,-7.263601577,52.07759435,16000000
0,0,,0,,,1989699.146
0.597400945,0,0,0.238960378,,,3691732.443
0,0,,0,-7.336605635,51.68299764,16000000
3.779625211,3,1.984323731,1.511850085,-6.911938573,52.10785655,15711335.56
0,0,,0,,,48580.53799
4.140018354,0,0,1.656007342,-6.164869767,51.91237702,16000000
0,0,,0,-6.351806253,51.70089017,16000000
1.733537141,0,0,0.693414857,-7.861714701,51.50942078,16000000
4.791513781,8,4.174046223,1.916605512,-7.14841426,52.0398727,16000000
0,0,,0,-8.153861652,51.29608181,16000000
4.142696058,0,0,1.657078423,-8.496493778,51.44192836,16000000
0,0,,0,-7.117199444,51.39191647,16000000
0,0,,0,-8.326486707,51.2612331,16000000
4.782596794,0,0,1.913038718,-8.72755838,51.2988218,16000000
4.787663047,1,0.522175428,1.915065219,-7.447353646,51.82838757,16000000
0,0,,0,-5.732277502,52.26092788,16000000
0,0,,0,-6.775985867,51.31398777,16000000
4.141633883,245,147.8884946,1.656653553,-8.494506021,51.62175496,16000000
4.139471697,0,0,1.655788679,-6.393065636,51.98960214,16000000
4.143322022,0,0,1.657328809,-8.497676584,51.33402971,16000000
0.703465983,0,0,0.281386393,-8.613114815,51.26253119,16000000
0,0,,0,-7.867058715,51.29365809,16000000
0,0,,0,-7.174660311,51.39282582,16000000
4.783546943,0,0,1.913418777,-6.633443317,51.85079356,16000000
4.140670346,0,0,1.656268138,-6.923608743,51.85627532,16000000
4.142001516,2,1.207145864,1.656800606,-8.841561942,51.51483662,16000000
0,0,,0,-7.862609986,51.47346091,16000000
4.141490056,1,0.603647471,1.656596022,-8.030782525,51.69077693,16000000
4.137967998,0,0,1.655187199,-6.078718423,52.34196336,16000000
0,0,,0,-7.056693345,51.46287233,16000000
0,0,,0,-7.35093636,51.28752606,16000000
2.669464714,6,5.619104055,1.067785886,,,6623488.968
4.142542315,0,0,1.657016926,-8.380907206,51.47734261,16000000
4.137159348,0,0,1.654863739,-6.066811132,52.52153447,16000000
4.139950506,9,5.434847583,1.655980202,-6.975190346,52.00105329,16000000
0,0,,0,-6.233984192,51.73414877,16000000
0,0,,0,-6.722197171,51.24100461,14202249
0,0,,0,-7.576964057,51.39840256,16000000
4.562575483,0,0,1.825030193,-6.561798898,52.10113243,16000000
3.293166334,0,0,1.317266533,,,5813649.774
0.174246229,0,0,0.069698492,,,4003809.597
4.141058723,0,0,1.656423489,-7.448588789,51.79243578,16000000
4.137676646,0,0,1.655070658,-6.132706197,52.4152328,16000000
4.140436882,100,60.38010169,1.656174753,-7.67735771,51.90313319,16000000
0,0,,0,-5.887664954,52.55292939,16000000
4.142318156,0,0,1.656927263,-7.976165562,51.54644365,16000000
1.166217454,0,0,0.466486982,-7.745477007,51.54420381,16000000
4.554449775,0,0,1.82177991,-6.509458767,51.99212234,16000000
0,0,,0,-7.341854654,51.53919323,16000000
0,0,,0,-6.769002893,51.45774941,16000000
4.141742091,9,5.432496642,1.656696836,-8.321175739,51.62088078,16000000
3.923896895,41,26.12199116,1.569558758,-5.80369833,52.08300173,15281514.19
4.139055262,6,3.624015398,1.655622105,-6.267931361,52.13065778,16000000
4.789969547,0,0,1.915987819,-6.022496532,52.30458467,16000000
0,0,,0,-6.821394563,51.56665303,16000000
4.454082035,0,0,1.781632814,-6.453299044,51.95494819,16000000
4.229632637,0,0,1.691853055,-7.273296438,51.8259605,16000000
4.787875483,6,3.132913555,1.915150193,-8.204999039,51.65611846,16000000
4.138181637,33,19.93629261,1.655272655,-5.849312641,52.26411211,16000000
4.141570654,1,0.603635724,1.656628262,-7.79935653,51.68863953,16000000
4.783224044,1,0.522660025,1.913289618,-8.034603061,51.51097114,16000000
0,0,,0,-8.039135733,51.2951966,16000000
4.138824404,15,9.060543851,1.655529761,-5.85946053,52.12047844,16000000
0,0,,0,-7.453503718,51.64862619,16000000
4.139507221,21,12.68266902,1.655802888,-6.158056773,52.02013664,16000000
0,0,,0,-6.941607022,51.46090782,16000000
0,0,,0,-6.588846985,51.59807702,16000000
4.356559689,0,0,1.742623875,-8.554395073,51.40619511,16000000
4.589975064,0,0,1.835990026,-6.459390486,51.84716127,16000000
4.139400662,0,0,1.655760265,-5.983417138,52.01579082,16000000
4.075300536,0,0,1.630120215,-7.087057255,52.11082881,15806163.51
4.999223549,2,1.000155314,1.99968942,-6.220733527,51.94968475,16000000
0,0,,0,-7.163116653,51.68041223,16000000
4.140914997,0,0,1.656365999,-6.579277434,51.77774579,16000000
0,0,,0,-8.84193511,51.40693557,16000000
4.138242199,0,0,1.65529688,-6.315486945,52.3116122,16000000
4.789355425,1,0.521990911,1.91574217,-7.621434061,51.83055711,16000000
4.139581889,0,0,1.655832756,-6.913616223,52.07191715,16000000
4.620156862,3,1.623321507,1.848062745,-7.678412743,51.86717823,16000000
1.142899373,0,0,0.457159749,-8.841810978,51.44290281,16000000
4.142809442,0,0,1.657123777,-8.611902007,51.40639963,16000000
4.296521835,8,4.654928049,1.718608734,-6.858735146,51.9989931,16000000
0,0,,0,,,5986047.6
0,0,,0,-6.17388767,51.76869346,16000000
4.142218247,1,0.603541352,1.656887299,-8.553343104,51.5140933,16000000
0,0,,0,-7.062777331,51.31908456,16000000
4.792478739,5,2.608253616,1.916991495,-5.954037732,52.44673544,16000000
4.782013965,0,0,1.912805586,-8.266873126,51.4047493,16000000
4.140822882,4,2.414978927,1.656329153,-6.809277071,51.81822994,16000000
0,0,,0,-7.340546484,51.5751447,16000000
0,0,,0,-7.809703242,51.29308908,16000000
0,0,,0,-6.417805872,51.55846231,16000000
4.785782525,52,27.16379178,1.91431301,-5.915316208,52.15793002,16000000
4.256580936,5,2.936629231,1.702632374,-6.032101086,52.1609288,16000000
4.139028004,16,9.664104704,1.655611201,-6.209563777,52.12929014,16000000
4.138900578,1,0.60402514,1.655560231,-5.976141484,52.12353104,16000000
0,0,,0,,,365647.955
4.139620435,0,0,1.655848174,-6.447169302,52.06273261,16000000
0,0,,0,-5.790792347,52.26253448,16000000
4.785828737,0,0,1.914331495,-6.567661637,51.99333933,16000000
4.13975972,60,36.23398703,1.655903888,-7.264995262,52.0416474,16000000
4.141041267,0,0,1.656416507,-7.564547742,51.79390886,16000000
0,0,,0,-7.233508745,51.35775646,16000000
4.140836368,0,0,1.656334547,-6.867267778,51.81929632,16000000
4.14067974,27,16.30167128,1.656271896,-6.981652569,51.85728583,16000000
4.140280593,1,0.603823809,1.656112237,-6.804029541,51.92604468,16000000
4.139502245,0,0,1.655800898,-6.457364241,51.88309052,16000000
4.139437093,0,0,1.655774837,-6.332739287,52.02422378,16000000
4.139589171,1,0.603924664,1.655835669,-7.03026501,52.07392496,16000000
1.283991045,0,0,0.513596418,-8.783576227,51.58667729,8324377.971
0,0,,0,-6.875711939,51.63959303,16000000
0,0,,0,-7.34964701,51.32347925,16000000
0,0,,0,,,994728.5602
4.788164716,0,0,1.915265887,-8.610679115,51.5502645,16000000
4.142111761,0,0,1.656844705,-7.975357543,51.58240441,16000000
0,0,,0,-6.884068838,51.45988323,16000000
0,0,,0,-7.923574784,51.33016074,16000000
0,0,,0,-6.29398919,51.69957185,16000000
0,0,,0,-6.659463878,51.34769051,14383660
0,0,,0,-5.841645586,52.37183414,16000000
4.141214038,2,1.207375411,1.656485615,-7.681564664,51.75931195,16000000
4.534658614,12,6.615713013,1.813863446,-7.206703255,52.04077446,16000000
1.411323978,0,0,0.564529591,,,3433653.179
0,0,,0,-6.836717949,51.24317812,16000000
4.786579636,1,0.522293619,1.914631854,-8.437617034,51.5495627,16000000
0,0,,0,-7.751373961,51.32845152,16000000
0,0,,0,-7.173227799,51.428775,16000000
0,0,,0,-7.807839513,51.36500945,16000000
